sample,Gene,Z-score,group,replicate
A_1,0610009B22Rik,-0.4526718065191865,Anterior,1
A_2,0610009B22Rik,1.1557537151181665,Anterior,2
A_3,0610009B22Rik,0.6114310803565227,Anterior,3
P_1,0610009B22Rik,-0.6815731169200038,Posterior,1
P_2,0610009B22Rik,0.6375699581285604,Posterior,2
P_3,0610009B22Rik,0.9519362041182275,Posterior,3
S_1,0610009B22Rik,-0.4633026203492615,Somite,1
S_2,0610009B22Rik,0.4520272612303097,Somite,2
S_3,0610009B22Rik,-2.211170675163335,Somite,3
A_1,0610010K14Rik.1,2.1654308564978004,Anterior,1
A_2,0610010K14Rik.1,-0.6993768828318081,Anterior,2
A_3,0610010K14Rik.1,-1.2234559183415925,Anterior,3
P_1,0610010K14Rik.1,0.303197539402362,Posterior,1
P_2,0610010K14Rik.1,-0.5586574099847741,Posterior,2
P_3,0610010K14Rik.1,1.160658269145472,Posterior,3
S_1,0610010K14Rik.1,-0.3859015930771696,Somite,1
S_2,0610010K14Rik.1,-0.6403895250931605,Somite,2
S_3,0610010K14Rik.1,-0.1215053357171994,Somite,3
A_1,0610012G03Rik,-0.4781477479692534,Anterior,1
A_2,0610012G03Rik,0.3555079993769059,Anterior,2
A_3,0610012G03Rik,-1.8157209394082947,Anterior,3
P_1,0610012G03Rik,0.4448641084924269,Posterior,1
P_2,0610012G03Rik,1.2658787233861566,Posterior,2
P_3,0610012G03Rik,-0.7900794520826412,Posterior,3
S_1,0610012G03Rik,-0.9704232182486282,Somite,1
S_2,0610012G03Rik,1.0466666761773142,Somite,2
S_3,0610012G03Rik,0.9414538502759412,Somite,3
A_1,1110065P20Rik,-2.1415536355649567,Anterior,1
A_2,1110065P20Rik,-0.5639855704875324,Anterior,2
A_3,1110065P20Rik,-0.6356278408570284,Anterior,3
P_1,1110065P20Rik,0.9459925626324666,Posterior,1
P_2,1110065P20Rik,1.0338046297530676,Posterior,2
P_3,1110065P20Rik,-0.6092522422535127,Posterior,3
S_1,1110065P20Rik,0.5488854257465505,Somite,1
S_2,1110065P20Rik,0.8606356934209971,Somite,2
S_3,1110065P20Rik,0.5611009776099483,Somite,3
A_1,1700009N14Rik,0.1094327928991011,Anterior,1
A_2,1700009N14Rik,1.4681259370022468,Anterior,2
A_3,1700009N14Rik,0.0007057291178671,Anterior,3
P_1,1700009N14Rik,-1.4947565655479218,Posterior,1
P_2,1700009N14Rik,-0.2153050541771169,Posterior,2
P_3,1700009N14Rik,-0.712504651911286,Posterior,3
S_1,1700009N14Rik,1.871240483171693,Somite,1
S_2,1700009N14Rik,-0.6014221660644706,Somite,2
S_3,1700009N14Rik,-0.4255165044902784,Somite,3
A_1,1700037H04Rik,-1.1228171271127787,Anterior,1
A_2,1700037H04Rik,-1.544897976203409,Anterior,2
A_3,1700037H04Rik,0.1972576123140004,Anterior,3
P_1,1700037H04Rik,0.0011708491189094,Posterior,1
P_2,1700037H04Rik,1.842436947176936,Posterior,2
P_3,1700037H04Rik,0.839048793745805,Posterior,3
S_1,1700037H04Rik,0.5158533786493007,Somite,1
S_2,1700037H04Rik,-0.9488118019673958,Somite,2
S_3,1700037H04Rik,0.2207593242784164,Somite,3
A_1,1810009N02Rik,0.0933552561086498,Anterior,1
A_2,1810009N02Rik,-0.3205846141629583,Anterior,2
A_3,1810009N02Rik,-0.265245639968878,Anterior,3
P_1,1810009N02Rik,1.1422164696495551,Posterior,1
P_2,1810009N02Rik,0.418651727218717,Posterior,2
P_3,1810009N02Rik,1.2365958025095731,Posterior,3
S_1,1810009N02Rik,0.5899505725026244,Somite,1
S_2,1810009N02Rik,-2.2445516191866157,Somite,2
S_3,1810009N02Rik,-0.650387954670705,Somite,3
A_1,2010204K13Rik,-0.5927952655423832,Anterior,1
A_2,2010204K13Rik,-0.3634294304144334,Anterior,2
A_3,2010204K13Rik,-1.172002007387515,Anterior,3
P_1,2010204K13Rik,1.0575784855318018,Posterior,1
P_2,2010204K13Rik,0.1801810112497816,Posterior,2
P_3,2010204K13Rik,-0.0640847237781964,Posterior,3
S_1,2010204K13Rik,1.4028437664403113,Somite,1
S_2,2010204K13Rik,-1.6240434852033054,Somite,2
S_3,2010204K13Rik,1.17575164910393,Somite,3
A_1,2210016F16Rik,-1.2074080649955137,Anterior,1
A_2,2210016F16Rik,1.0425151682538307,Anterior,2
A_3,2210016F16Rik,-1.6075100839325804,Anterior,3
P_1,2210016F16Rik,0.3016914504689446,Posterior,1
P_2,2210016F16Rik,1.544359122981788,Posterior,2
P_3,2210016F16Rik,-0.6749107294636987,Posterior,3
S_1,2210016F16Rik,0.6581339046699509,Somite,1
S_2,2210016F16Rik,-0.5308866329845028,Somite,2
S_3,2210016F16Rik,0.4740158650018488,Somite,3
A_1,2210016L21Rik,1.4443341584004536,Anterior,1
A_2,2210016L21Rik,-1.1614450060558212,Anterior,2
A_3,2210016L21Rik,-1.253371745454028,Anterior,3
P_1,2210016L21Rik,1.0545949934812977,Posterior,1
P_2,2210016L21Rik,1.2456645353751734,Posterior,2
P_3,2210016L21Rik,0.4548827042073355,Posterior,3
S_1,2210016L21Rik,-0.5603605556981351,Somite,1
S_2,2210016L21Rik,-0.7850317544738405,Somite,2
S_3,2210016L21Rik,-0.4392673297825888,Somite,3
A_1,2310022A10Rik,1.4084005677031102,Anterior,1
A_2,2310022A10Rik,-0.9615064828101598,Anterior,2
A_3,2310022A10Rik,1.6483198249532696,Anterior,3
P_1,2310022A10Rik,-0.7368102682427469,Posterior,1
P_2,2310022A10Rik,1.0251352118505803,Posterior,2
P_3,2310022A10Rik,-0.3243552253002997,Posterior,3
S_1,2310022A10Rik,-0.9457269197719296,Somite,1
S_2,2310022A10Rik,-0.8410386296194815,Somite,2
S_3,2310022A10Rik,-0.2724180787624183,Somite,3
A_1,2410002F23Rik,0.4061599362336953,Anterior,1
A_2,2410002F23Rik,0.5928763902116716,Anterior,2
A_3,2410002F23Rik,0.7005795607614969,Anterior,3
P_1,2410002F23Rik,-2.072173641012546,Posterior,1
P_2,2410002F23Rik,-1.3637965350116084,Posterior,2
P_3,2410002F23Rik,0.5242164130040398,Posterior,3
S_1,2410002F23Rik,0.2678814441492731,Somite,1
S_2,2410002F23Rik,-0.2512326773612821,Somite,2
S_3,2410002F23Rik,1.195489109025316,Somite,3
A_1,2700097O09Rik,0.2749123683912481,Anterior,1
A_2,2700097O09Rik,-0.9806020779224218,Anterior,2
A_3,2700097O09Rik,-1.726897180409673,Anterior,3
P_1,2700097O09Rik,-0.3916710116833701,Posterior,1
P_2,2700097O09Rik,1.63060451508619,Posterior,2
P_3,2700097O09Rik,-0.4757723405290252,Posterior,3
S_1,2700097O09Rik,1.3734857731420462,Somite,1
S_2,2700097O09Rik,0.2247127276288602,Somite,2
S_3,2700097O09Rik,0.0712272262961748,Somite,3
A_1,2900026A02Rik,-0.7516066245725449,Anterior,1
A_2,2900026A02Rik,-0.397737076115721,Anterior,2
A_3,2900026A02Rik,-2.0896549473580146,Anterior,3
P_1,2900026A02Rik,0.7292995565972706,Posterior,1
P_2,2900026A02Rik,0.6712948870807566,Posterior,2
P_3,2900026A02Rik,-0.7778964969248053,Posterior,3
S_1,2900026A02Rik,0.8493900233490922,Somite,1
S_2,2900026A02Rik,0.7417740260175872,Somite,2
S_3,2900026A02Rik,1.0251366519263745,Somite,3
A_1,5031439G07Rik,-0.5360416688646249,Anterior,1
A_2,5031439G07Rik,0.5882526109476436,Anterior,2
A_3,5031439G07Rik,-0.53309010760128,Anterior,3
P_1,5031439G07Rik,-2.186906816931766,Posterior,1
P_2,5031439G07Rik,-0.5273177974479955,Posterior,2
P_3,5031439G07Rik,0.2732732661526441,Posterior,3
S_1,5031439G07Rik,0.7347798456362065,Somite,1
S_2,5031439G07Rik,1.1819352732541697,Somite,2
S_3,5031439G07Rik,1.0051153948549492,Somite,3
A_1,5730455P16Rik,0.7768899162862324,Anterior,1
A_2,5730455P16Rik,0.34760796669778,Anterior,2
A_3,5730455P16Rik,-0.0156868574711138,Anterior,3
P_1,5730455P16Rik,-0.326060183225679,Posterior,1
P_2,5730455P16Rik,-2.523900532036897,Posterior,2
P_3,5730455P16Rik,1.2228303883259004,Posterior,3
S_1,5730455P16Rik,-0.1743803767497266,Somite,1
S_2,5730455P16Rik,0.4754553129887316,Somite,2
S_3,5730455P16Rik,0.2172443651847469,Somite,3
A_1,8030462N17Rik,0.7000317776459448,Anterior,1
A_2,8030462N17Rik,-0.7811637740490774,Anterior,2
A_3,8030462N17Rik,-0.6406138494336766,Anterior,3
P_1,8030462N17Rik,1.3075561835988103,Posterior,1
P_2,8030462N17Rik,1.3666083906973068,Posterior,2
P_3,8030462N17Rik,0.8592242023514084,Posterior,3
S_1,8030462N17Rik,-0.7333946550798656,Somite,1
S_2,8030462N17Rik,-0.5510980116560458,Somite,2
S_3,8030462N17Rik,-1.5271502640748498,Somite,3
A_1,9530068E07Rik,0.8268455080024952,Anterior,1
A_2,9530068E07Rik,0.1783796906898569,Anterior,2
A_3,9530068E07Rik,-0.9857451012765496,Anterior,3
P_1,9530068E07Rik,1.64141287286743,Posterior,1
P_2,9530068E07Rik,-1.027833966160142,Posterior,2
P_3,9530068E07Rik,-0.3444940290634967,Posterior,3
S_1,9530068E07Rik,1.2065122335614695,Somite,1
S_2,9530068E07Rik,-1.4071441949040422,Somite,2
S_3,9530068E07Rik,-0.0879330137169227,Somite,3
A_1,A0A087WPF7,0.3722894177061226,Anterior,1
A_2,A0A087WPF7,-0.3976004323043316,Anterior,2
A_3,A0A087WPF7,0.1089295802325641,Anterior,3
P_1,A0A087WPF7,-1.715273463718692,Posterior,1
P_2,A0A087WPF7,1.7418229694978231,Posterior,2
P_3,A0A087WPF7,-1.432841846810323,Posterior,3
S_1,A0A087WPF7,0.6702429286467781,Somite,1
S_2,A0A087WPF7,0.3372647122816306,Somite,2
S_3,A0A087WPF7,0.3151661344685204,Somite,3
