ID,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_30_REP_4,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_60_REP_4,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_90_REP_4,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,TP_120_REP_4
0610009B22Rik,0.76003524,1.0,116.21347,77.68298276512755,0.1398346326324758,21.34966585319969,0.5713867,3.148460569082832,20.751110555531,21.1700797729848,21.6687191396385,21.4998810725905,21.3398147645134,20.9107701530215,21.7138499315685,21.6010432065706,21.4530117538017,21.3203033801996,21.493015927913,21.7279501415747,21.5861516468299,20.3281489338152,21.1551769521171,21.7996106856578
0610010K14Rik,0.7508222500000001,1.0,120.872604,100.03485684345492,0.0940990608652659,24.72719362768504,0.59500057,3.096860738854899,24.6743747086709,24.8046155910342,24.103069659848,24.8167343995988,24.741563136828,24.7935577426611,24.3225723023453,25.0467099623201,25.0622060119662,25.2392716072284,24.3244150513713,24.4258877963601,24.8991955230844,24.7481079273579,24.842718547837,24.7916732883665
0610012G03Rik,1.0,1.0,111.617714,67.50514145151618,0.0645399566811314,20.829284940771835,0.11120521,1.111925399131303,20.7388038450043,20.3195847566072,20.8669775835853,20.7636095282435,20.947417136746,20.8161152949497,21.1400295220788,21.0604004834457,20.8895238568385,20.886730751486,20.6138781837061,20.5930497794946,20.821461005927,20.8250026445841,20.9893634660998,21.034377278329
1110065P20Rik,0.3518862399999999,1.0,123.909546,112.40865533824795,0.1966529317806755,19.398673281632647,0.7127894,1.9003650407443555,19.250143527916,19.1229142605067,19.5823952904202,19.1810265829303,18.7206930220269,19.2844652555786,18.9195456563861,20.0318481221327,19.6052493520059,19.5873305757191,19.2448694495645,19.3639495651794,20.0472046558505,19.3569675434107,19.2503425027148,19.8566018184254
1700009N14Rik,0.23736384,1.0,120.89999,59.6496743458638,0.4773357843322521,21.944867363172406,0.66374755,1.667707039634329,21.6734704891847,21.968643720674,22.3290998876869,22.1128200660916,21.8002145418709,22.2397948010812,22.40246616673,22.5231157510348,21.8410217351697,22.0971820826147,22.2864567954788,21.6862092774649,21.6975596207916,22.1093682630273,22.5766329617142,19.3427544821254
1700017B05Rik,0.8284640400000001,1.0,116.46698,75.99881184059332,0.1147835012747981,18.27540428665861,0.718508,3.641389222488442,17.9049265998263,17.8546650551214,18.5482606640821,18.3400446115108,18.1076631972954,18.6360097781731,18.4343609356301,18.3013550207495,17.9331147606704,17.5709339731452,18.5157856972698,19.3367520562415,18.3290424628303,18.1619213896821,18.2844992788328,18.0857090982281
1700037H04Rik,0.7141940099999999,1.0,105.504684,40.29982091829207,0.1782026493120559,23.054093980563955,0.33572915,2.936085564384118,23.5416476974981,23.2674851430447,23.1957525012656,22.3733279058462,23.2678839545724,23.4549690061056,23.2444324357427,22.6942146985807,23.2337308942821,22.5840230738251,23.1729962781991,22.431826386461,22.753217701811,23.2881132752983,23.4525624073984,22.8394770298335
1810009N02Rik,0.24433249,1.0,121.91696,44.628480321980376,0.3507011037713231,22.02986054250505,0.7425024,1.6821183558240984,22.3313981759785,22.6182155934227,21.8668573012666,22.3306213703178,22.1978429147551,22.5643063592716,21.8159916174092,22.5117336433946,21.2007723938865,22.3015435181786,21.5548570636411,22.2844286022839,21.4085714147744,21.8688286103053,21.152749708107,22.6510441637122
2200002D01Rik,1.0,1.0,114.439865,45.53417554848258,0.1461514495251133,18.382716860339297,0.17261294,8.947879539144871,18.6151821501926,16.9703540504327,18.5413309499891,19.9594414501689,17.9943308789319,18.0034221072696,17.7822953773371,19.53212174825,19.1601309317563,17.7754357683362,17.61402700561,19.216075934212,17.8026422655148,17.0988154524564,17.9248436757529,20.1921416495627
2210016F16Rik,0.87291649,1.0,113.60408,12.65645564348844,0.0620268087057713,23.770008530306647,0.30521095,4.115698662628711,23.631218163292,23.6988411132065,23.8373517697024,24.2164095789995,23.8113938985601,23.6730914141296,23.1317488279132,24.098401175585,24.0589660798944,23.8569138494332,23.4209277646636,23.7892140106249,23.8449152847766,23.7500234747085,23.5221397827449,24.0261434162161
2210016L21Rik,0.6577210000000001,1.0,108.27818,1.723300805081661,0.2450285459362031,22.618249927052997,0.45859748,2.7244230647830494,23.1704896529416,23.0210545358896,21.8571458599969,22.5061943274347,22.6978505885799,23.0604695583299,22.0815074545073,21.5306883094232,23.1548281999226,22.6630355389226,21.9898137932931,23.2636113843573,22.8682967017792,22.7086420312771,22.9565031380771,22.3890104129887
2310022A10Rik,0.74839801,1.0,111.21702,5.3102214572769695,0.1245558191216003,22.467680383166496,0.5253433,3.0844153368275125,22.7307183393677,22.4889928708775,22.0525995811277,22.7442029422254,22.2838282723426,22.1952596311065,21.6467382614696,22.9009440102319,22.8189619425332,22.7288350633332,21.7376818481737,22.7626099814983,22.1280960199202,22.6586776605468,22.475063365063,23.0389691870434
2410002F23Rik,0.31539456,1.0,110.221794,66.66090481358087,0.1257517069704942,23.030224350520644,0.4904077,1.823832305161995,22.9029249817643,22.3014687366675,23.3896584767402,23.0457339372268,23.0802169668856,23.1625939871124,23.4920501961767,23.1512506517731,22.7740101702925,22.8542938288162,23.3946072092808,22.9607784437031,22.9901037492914,22.8344208470584,23.0207584271429,23.0067604398421
